타임스탬프,성별,대학교,전공,학년,통학시간,공강유무,평균공강시간,뭐하는지,어디가는지,얼마나가는지,누구와가는지,충분한지,뭘하고싶은지
8-30-2024 22:35:01,여자,국민대,국제경영,졸업유예 / 졸업,10분 미만,있다.,1~3시간,"과제/공부, 식사",집,5회 이상,혼자,충분하지 않다.,수다
8-30-2024 22:48:20,남자,국민대학교,지역학,4학년,30분 이상 - 1시간 미만,있다.,1~3시간,과제/공부,"과방/과실, 도서관",1~2회,혼자,충분하지 않다.,잠
8-30-2024 22:49:28,여자,국민대,패션,4학년,10분 미만,없다.,,,,,,충분하지 않다.,잠
8-30-2024 22:49:44,여자,홍익대학교,산업디자인전공,3학년,10분 미만,있다.,1~3시간,"과제/공부, 잠",과방/과실,5회 이상,친구,충분하다.,잠
8-30-2024 22:49:53,여자,홍익대,산업디자인,4학년,10분 이상 - 30분 미만,없다.,,,,,,충분하다.,과제
8-30-2024 22:50:24,여자,홍익대학교,디자인컨버전스학부,졸업유예 / 졸업,30분 이상 - 1시간 미만,있다.,1~3시간,과제/공부,"카페, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하지 않다.,잠
8-30-2024 22:50:30,여자,홍익대학교,디자인컨버전스학부,4학년,10분 미만,있다.,1~3시간,"과제/공부, 식사",우리집,3~5회,혼자,충분하지 않다.,잠
8-30-2024 22:53:40,여자,홍익대,디자인컨버전스학부,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,과제/공부,카페,1~2회,혼자,충분하지 않다.,과제
8-30-2024 22:54:51,여자,홍익대학교,디자인컨버전스학부,졸업유예 / 졸업,10분 미만,있다.,1시간 미만,"과제/공부, 술","카페, 라운지(교내 내 개방된 공간)",5회 이상,친구,충분하다.,과제
8-30-2024 23:15:01,남자,한동대,법,4학년,10분 미만,있다.,1시간 미만,과제/공부,"카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-30-2024 23:18:27,여자,홍익대학교,디자인컨버전스학부,4학년,2시간 이상,있다.,1~3시간,"과제/공부, 식사",라운지(교내 내 개방된 공간),1~2회,혼자,충분하지 않다.,과제
8-30-2024 23:19:47,여자,이화여대학교,첼로,대학원생,30분 이상 - 1시간 미만,있다.,1시간 미만,"대화, 식사","카페, 라운지(교내 내 개방된 공간)",1~2회,친구,충분하다.,잠
8-30-2024 23:20:03,여자,숙명여대학교,아동복지학부,4학년,1시간 이상 - 2시간 미만,있다.,3~5시간,"과제/공부, 식사","도서관, 라운지(교내 내 개방된 공간)",5회 이상,혼자,충분하다.,잠
8-30-2024 23:20:23,여자,경동대학교,스포츠마케팅학과,졸업유예 / 졸업,30분 이상 - 1시간 미만,있다.,1~3시간,"식사, 친구들과 카페","카페, 라운지(교내 내 개방된 공간)",1~2회,친구,충분하다.,수다
8-30-2024 23:22:36,여자,가톨릭대학교,영어영문학부,4학년,30분 이상 - 1시간 미만,없다.,,,,,,충분하지 않다.,잠
8-30-2024 23:25:56,여자,서울대학교,노어노문학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 식사","과방/과실, 라운지(교내 내 개방된 공간)",5회 이상,친구,충분하지 않다.,잠
8-30-2024 23:26:53,여자,동국대,산업시스템공학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,과제/공부,도서관,1~2회,혼자,충분하지 않다.,잠
8-30-2024 23:27:20,남자,서울대학교,국사학과,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 식사","도서관, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하지 않다.,잠
8-30-2024 23:28:48,남자,동국대학교,정보통신공학과,4학년,10분 미만,있다.,1시간 미만,"잠, 식사","과방/과실, 자취방",1~2회,친구,충분하지 않다.,잠
8-30-2024 23:30:47,여자,서울대학교,인문계열(전공 미정),1학년,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 식사",과방/과실,5회 이상,친구,충분하지 않다.,잠
8-30-2024 23:32:16,여자,이화여대학교,컴퓨터공학과,4학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하지 않다.,잠
8-30-2024 23:32:35,여자,성신여대학교,화학에너지융합학부,3학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 식사","과방/과실, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하지 않다.,과제
8-30-2024 23:34:45,남자,동국대학교,컴퓨터공학,4학년,10분 미만,없다.,,,,,,충분하지 않다.,과제
8-30-2024 23:39:52,남자,서울대학교,역사학부 한국사학전공,2학년,30분 이상 - 1시간 미만,있다.,1~3시간,"과제/공부, 식사","동아리방, 과방/과실",3~5회,혼자,충분하다.,잠
8-30-2024 23:40:22,남자,한남대학교,융합디자인,4학년,10분 이상 - 30분 미만,있다.,1~3시간,"과제/공부, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하다.,과제
8-30-2024 23:44:45,여자,혜전대학교,작업치료과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,없다.,,,,,,충분하지 않다.,잠
8-30-2024 23:47:48,남자,건양대,작업치료학과,4학년,30분 이상 - 1시간 미만,없다.,,,,,,충분하다.,잠
8-30-2024 23:47:58,여자,고려대학교,지리교육과,2학년,10분 미만,있다.,1~3시간,"대화, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하다.,잠
8-30-2024 23:50:26,여자,강원대학교,치위생학과,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"과제/공부, 식사","과방/과실, 라운지(교내 내 개방된 공간)",1~2회,친구,충분하지 않다.,잠
8-30-2024 23:50:53,여자,서강대학교,신문방송학과,1학년,30분 이상 - 1시간 미만,있다.,1~3시간,"대화, 식사","카페, 과방/과실",3~5회,친구,충분하지 않다.,수다
8-30-2024 23:50:58,여자,한국외국어대학교,이탈리아어통번역학과,4학년,10분 미만,없다.,,,,,,충분하다.,잠
8-30-2024 23:57:58,여자,상명대학교,글로벌경영학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 식사","도서관, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하지 않다.,잠
8-31-2024 0:03:36,여자,동아방송예술대학교,방송기술,1학년,10분 이상 - 30분 미만,있다.,1~3시간,"잠, 식사",기숙사,5회 이상,혼자,충분하다.,과제
8-31-2024 0:08:21,여자,삼육대,체육학과,4학년,10분 이상 - 30분 미만,있다.,1~3시간,"카페가서 과제하기,동기들과 시간보내기","카페, 라운지(교내 내 개방된 공간)",1~2회,친구,충분하다.,잠
8-31-2024 0:09:40,남자,군산대학교,임베디드소프트웨어전공,4학년,10분 미만,있다.,1~3시간,식사,자취방,5회 이상,혼자,충분하지 않다.,잠
8-31-2024 0:10:24,여자,아주대,소프트웨어,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 놀아요",동아리방,5회 이상,친구,충분하지 않다.,수다
8-31-2024 0:15:20,여자,국민대학교,식품영양학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1시간 미만,"과제/공부, 식사","카페, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하다.,잠
8-31-2024 0:17:43,여자,명지대학교,정보통신공학과,3학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 식사","도서관, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하다.,없어요
8-31-2024 0:18:24,여자,세종대학교,물리천문학과,4학년,10분 미만,없다.,,,,,,충분하지 않다.,수다
8-31-2024 0:20:54,남자,상명대학교,글로벌경영,4학년,30분 이상 - 1시간 미만,있다.,1~3시간,"잠, 식사","카페, 차 안에서 휴식",1~2회,혼자,충분하지 않다.,잠
8-31-2024 0:21:12,여자,성신여대학교,의류산업학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"잠, 식사","과방/과실, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하다.,잠
8-31-2024 0:23:34,여자,국민대,사회학,졸업유예 / 졸업,1시간 이상 - 2시간 미만,없다.,,,,,,충분하지 않다.,잠
8-31-2024 0:25:53,여자,덕성여대학교,컴퓨터공학전공,4학년,30분 이상 - 1시간 미만,있다.,1~3시간,"과제/공부, 식사",도서관,1~2회,혼자,충분하지 않다.,잠
8-31-2024 0:28:50,남자,아주대학교,기계공학과,3학년,10분 미만,있다.,1~3시간,"잠, 집 , 동방","동아리방, 집",3~5회,혼자,충분하다.,잠
8-31-2024 0:30:00,여자,경복대학교,간호학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 식사","도서관, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하지 않다.,잠
8-31-2024 0:30:51,여자,경희대학교,경영,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"잠, 식사",동아리방,3~5회,친구,충분하다.,수다
8-31-2024 0:46:41,여자,인하대,경영학,졸업유예 / 졸업,10분 미만,있다.,1~3시간,잠,"카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 0:52:57,남자,중앙대학교,전자,3학년,10분 미만,없다.,,,,,,충분하다.,과제
8-31-2024 0:55:29,남자,세종대,전자공학,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 대화","카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하다.,수다
8-31-2024 0:58:30,여자,홍익대학교,"디자인컨버전스, 시각디자인",졸업유예 / 졸업,2시간 이상,있다.,1~3시간,"과제/공부, 식사","카페, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하지 않다.,잠
8-31-2024 1:35:03,여자,상명대,글경,3학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하지 않다.,잠
8-31-2024 1:40:50,남자,신한대,기계공학과,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"과제/공부, 대화","동아리방, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 1:46:23,여자,삼육대학교,상담심리학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,식사,"도서관, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하지 않다.,식사
8-31-2024 2:19:17,여자,세종대 ,법학,4학년,10분 미만,있다.,1시간 미만,"대화, 식사","동아리방, 도서관",3~5회,친구,충분하지 않다.,수다
8-31-2024 2:25:15,여자,광운대,전자,4학년,10분 미만,있다.,1~3시간,"식사, 친구들이링 놀기","라운지(교내 내 개방된 공간), 자취방",5회 이상,친구,충분하지 않다.,수다
8-31-2024 3:23:03,여자,숙명여대학교,의류학,4학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"과제/공부, 식사",라운지(교내 내 개방된 공간),3~5회,혼자,충분하다.,잠
8-31-2024 4:09:49,여자,아주대학교,건축학과,4학년,10분 이상 - 30분 미만,있다.,3~5시간,대화,카페,1~2회,친구,충분하다.,잠
8-31-2024 4:37:20,남자,건국대학교,화공,4학년,10분 미만,있다.,1시간 미만,"과제/공부, 잠",집,5회 이상,친구,충분하지 않다.,식사
8-31-2024 5:01:50,여자,홍익대학교,디자인컨버전스학부,4학년,10분 이상 - 30분 미만,있다.,1~3시간,"잠, 식사","라운지(교내 내 개방된 공간), 집",1~2회,혼자,충분하지 않다.,독서 / 도서관이 넘 구석에 있어서 가기 힘들어요 ㅜㅜ
8-31-2024 5:15:33,남자,상명대학교,커뮤니케이션,3학년,10분 미만,있다.,5시간 이상,"과제/공부, 잠","카페, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하지 않다.,수다
8-31-2024 6:39:22,여자,한남대,영문,4학년,10분 미만,있다.,5시간 이상,과제/공부,기숙사,5회 이상,혼자,충분하다.,잠
8-31-2024 7:30:29,남자,한남대,경영학,2학년,10분 이상 - 30분 미만,없다.,,,,,,충분하다.,과제
8-31-2024 8:35:27,남자,충남도립대,전기전자공학,2학년,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 여가","카페, 교내 기숙사",5회 이상,친구,충분하다.,수다
8-31-2024 8:45:41,여자,연세대학교,국어교육,대학원생,2시간 이상,없다.,,,,,,충분하다.,잠
8-31-2024 8:48:36,여자,숙명여대,경제학부,졸업유예 / 졸업,30분 이상 - 1시간 미만,있다.,1시간 미만,"잠, 식사","과방/과실, 도서관",3~5회,친구,충분하다.,수다
8-31-2024 9:51:38,여자,성균관대,사학,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 식사","카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 9:51:57,여자,서강대학교,영미어문,4학년,10분 이상 - 30분 미만,있다.,1~3시간,"과제/공부, 대화",카페,3~5회,친구,충분하다.,수다
8-31-2024 9:58:15,여자,서울대학교,국사학,대학원생,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 식사","과방/과실, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하지 않다.,식사
8-31-2024 10:17:53,남자,국민대,회계학,3학년,10분 이상 - 30분 미만,없다.,,,,,,충분하다.,잠
8-31-2024 10:24:55,여자,혜전대학교,작업치료과,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"잠, 식사",카페,3~5회,친구,충분하지 않다.,잠
8-31-2024 10:57:42,여자,혜전대학교,작업치료과,졸업유예 / 졸업,2시간 이상,있다.,1시간 미만,잠,"카페, 과방/과실",3~5회,친구,충분하다.,과제
8-31-2024 11:01:36,여자,이화여대학교,경영학부,4학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 식사",라운지(교내 내 개방된 공간),3~5회,친구,충분하지 않다.,과제
8-31-2024 11:50:57,여자,세종대학교,음악과,4학년,30분 이상 - 1시간 미만,있다.,1~3시간,"잠, 식사","카페, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 11:54:20,남자,명지대학교,산업겅영공학과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 식사","과방/과실, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하다.,잠
8-31-2024 12:03:54,남자,순천향대학교,환경보건학과,졸업유예 / 졸업,30분 이상 - 1시간 미만,있다.,1~3시간,"과제/공부, 대화","도서관, 친구 방",3~5회,친구,충분하다.,잠
8-31-2024 12:05:03,남자,국민대학교,국제경영,4학년,1시간 이상 - 2시간 미만,없다.,,,,,,충분하지 않다.,"잠, 식사"
8-31-2024 12:05:42,여자,홍익대학교,산업데이터공학과,3학년,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 식사",카페,1~2회,친구,충분하지 않다.,수다
8-31-2024 12:14:25,여자,국민대학교,자동차공학,대학원생,10분 이상 - 30분 미만,없다.,,,,,,충분하지 않다.,휴식
8-31-2024 12:14:53,남자,국민대학교,자동차IT융합,대학원생,30분 이상 - 1시간 미만,있다.,1~3시간,"대화, 산책","동아리방, 라운지(교내 내 개방된 공간)",5회 이상,친구,충분하지 않다.,잠
8-31-2024 12:15:39,여자,한국예술종합학교,연기 전공,3학년,10분 미만,없다.,,,,,,충분하지 않다.,잠
8-31-2024 12:23:29,남자,한국외국어대학교,전자물리학과,졸업유예 / 졸업,2시간 이상,있다.,1~3시간,"대화, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하다.,수다
8-31-2024 12:24:25,여자,대진대학교,스포츠건강과학과,4학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하지 않다.,식사
8-31-2024 12:24:33,여자,홍익대학교,산업공학과,졸업유예 / 졸업,30분 이상 - 1시간 미만,있다.,1~3시간,"과제/공부, 식사",카페,3~5회,혼자,충분하지 않다.,잠
8-31-2024 12:26:18,남자,서강대학교,커뮤니케이션,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"과제/공부, 식사","동아리방, 과방/과실",3~5회,친구,충분하지 않다.,잠
8-31-2024 12:29:47,남자,백석예술대학교,실용음악과 보컬파트 ,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,잠,카페,5회 이상,혼자,충분하다.,잠
8-31-2024 12:30:40,여자,용인대학교,스포츠레저,3학년,2시간 이상,있다.,1시간 미만,"대화, 식사",카페,1~2회,친구,충분하지 않다.,수다
8-31-2024 12:30:41,남자,성균관대학교 ,에너지학과,1학년,10분 미만,없다.,,,,,,충분하다.,잠
8-31-2024 12:33:07,여자,대진대학교,스포츠건강과학과,4학년,1시간 이상 - 2시간 미만,있다.,1~3시간,"잠, 식사","카페, 라운지(교내 내 개방된 공간)",1~2회,친구,충분하지 않다.,과제
8-31-2024 12:34:23,여자,대진대학교,스포츠건강과학과,4학년,30분 이상 - 1시간 미만,있다.,1시간 미만,과제/공부,"카페, 라운지(교내 내 개방된 공간)",1~2회,친구,충분하지 않다.,과제
8-31-2024 12:37:15,남자,건국대학교,체육교육과,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"과제/공부, 식사","카페, Pc방",3~5회,친구,충분하지 않다.,잠
8-31-2024 12:38:05,여자,서울과학기술대학교,금속공예디자인학과,대학원생,30분 이상 - 1시간 미만,있다.,5시간 이상,"과제/공부, 과사 근로, 드로잉","카페, 학과사무실",3~5회,혼자,충분하지 않다.,과제
8-31-2024 12:51:31,남자,국민대학교,자동차공학과,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,대화,"과방/과실, 도서관",5회 이상,친구,충분하지 않다.,수다
8-31-2024 12:53:10,남자,국민대학교,기계공학,졸업유예 / 졸업,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 식사","카페, 동아리방",5회 이상,친구,충분하지 않다.,수다
8-31-2024 12:54:33,남자,부천대학교,전기과,1학년,2시간 이상,있다.,5시간 이상,"잠, 식사",피씨방,3~5회,친구,충분하지 않다.,과제
8-31-2024 12:55:24,여자,국민대학교,소프트웨어전공,졸업유예 / 졸업,10분 미만,있다.,1~3시간,"과제/공부, 대화","동아리방, 과방/과실",3~5회,친구,충분하지 않다.,식사
8-31-2024 13:01:45,여자,동국대학교,정보통신공학전공,4학년,10분 이상 - 30분 미만,없다.,,,,,,충분하다.,잠
8-31-2024 13:05:44,여자,가천대학교,성악,대학원생,1시간 이상 - 2시간 미만,있다.,1시간 미만,"과제/공부, 식사","카페, 라운지(교내 내 개방된 공간)",1~2회,혼자,충분하다.,잠
8-31-2024 13:08:10,남자,국민대학교,기계시스템공학,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"대화, 운동","카페, 동아리방",3~5회,친구,충분하지 않다.,수다
8-31-2024 13:14:30,남자,서울대학교,농생명공학부,대학원생,1시간 이상 - 2시간 미만,없다.,,,,,,충분하지 않다.,잠
8-31-2024 13:15:52,여자,부산대학교,간호학과,1학년,2시간 이상,있다.,3~5시간,"잠, 식사","카페, 도서관",3~5회,친구,충분하다.,잠
8-31-2024 13:21:10,여자,동원대,소방,졸업유예 / 졸업,2시간 이상,있다.,1시간 미만,업무,과방/과실,3~5회,혼자,충분하다.,잠
8-31-2024 13:22:20,여자,국민대,소프트웨어전공,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,3~5시간,"과제/공부, 식사","동아리방, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하다.,과제
8-31-2024 13:33:19,남자,국민대학교,자동차공학과,대학원생,10분 이상 - 30분 미만,있다.,1~3시간,"대화, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하지 않다.,잔디밭 누워있기
8-31-2024 13:39:07,여자,서울대학교,미학과,4학년,30분 이상 - 1시간 미만,있다.,1시간 미만,"과제/공부, 식사","카페, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하지 않다.,잠
8-31-2024 13:43:46,남자,국민대학교,국제경영,3학년,2시간 이상,있다.,1~3시간,대화,라운지(교내 내 개방된 공간),3~5회,친구,충분하다.,수다
8-31-2024 14:42:19,남자,인하공업전문대학교,토목환경과,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"잠, 식사","카페, 도서관",5회 이상,혼자,충분하다.,잠
8-31-2024 14:50:12,남자,0,0,졸업유예 / 졸업,10분 미만,있다.,1~3시간,"과제/공부, 대화","카페, 라운지(교내 내 개방된 공간)",3~5회,혼자,충분하다.,잠
8-31-2024 14:53:07,남자,명지대,디자인학부,졸업유예 / 졸업,30분 이상 - 1시간 미만,있다.,1~3시간,"과제/공부, 대화","카페, 과방/과실",5회 이상,친구,충분하지 않다.,잠
8-31-2024 15:04:57,여자,폴리텍,산업디자인,졸업유예 / 졸업,1시간 이상 - 2시간 미만,있다.,1~3시간,"잠, 식사",카페,3~5회,혼자,충분하지 않다.,과제
8-31-2024 15:26:17,남자,국민대,사회학,졸업유예 / 졸업,30분 이상 - 1시간 미만,없다.,,,,,,충분하지 않다.,수다
8-31-2024 15:39:37,여자,상명대학교,글로벌경영학과,3학년,1시간 이상 - 2시간 미만,있다.,1~3시간,대화,"카페, 라운지(교내 내 개방된 공간)",3~5회,친구,충분하지 않다.,잠
8-31-2024 15:57:36,여자,홍익대학교,디자인컨버전스학부,3학년,10분 미만,없다.,,,,,,충분하다.,잠
